State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Currituck County,37053,37053,Region 1,1/1/2015,7466.0,,3.9,,0.07,0.264,0.305,8.2,0.255,0.788,0.274,0.263,211.8,33.5,0.179,17.0,20.0,41.0,51.46,0.88,0.61,0.87,0.558,0.064,0.191,3.973,0.236,13.706,194.17,76.1,11.6,0.0,0.15,0.855,0.596,24396,0.006,0.983,0.108,114.6,385.8,11.6,54.2,0.122,0.028,24.93,13.38,0.213,0.086,8799.0,0.19,8.0,57577,0.283,,
NC,South,South Atlantic,Dare County,37055,37055,Region 1,1/1/2014,5869.0,0.213,4.0,4.1,0.07,0.309,0.281,7.113,0.266,0.568,0.284,0.296,274.0,27.3,0.203,76.0,58.0,89.0,47.48,0.84,0.66,0.9,0.686,0.113,0.201,,0.345,,355.95,64.2,11.37,0.0,0.194,0.782,0.183,34573,0.026,0.29,0.1,135.3,307.0,,77.5,0.152,0.099,17.04,16.62,0.239,0.091,7384.0,0.175,67.0,51900,0.284,,
NC,South,South Atlantic,Dare County,37055,37055,Region 1,1/1/2015,6432.0,0.213,4.0,4.1,0.07,0.309,0.278,6.9,0.249,0.91,0.284,0.167,260.3,26.9,0.207,67.0,63.0,163.0,46.28,0.85,0.64,0.89,0.721,0.098,0.198,3.513,0.374,14.751,341.0,70.0,11.37,0.0,0.198,0.801,0.191,35019,0.022,0.29,0.094,135.3,321.8,,44.1,0.149,0.099,11.39,16.88,0.241,0.102,7531.0,0.175,63.0,52083,0.328,,
NC,South,South Atlantic,Davidson County,37057,37057,Region 20,1/1/2014,7932.0,0.208,4.2,4.4,0.1,0.257,0.29,7.257,0.323,0.589,0.145,0.319,327.0,48.4,0.188,32.0,17.0,50.0,69.47,0.88,0.62,0.79,0.497,0.102,0.25,,0.314,,239.09,67.0,12.66,0.0,0.142,0.863,0.293,163260,0.019,0.474,0.112,167.1,397.6,8.3,61.3,0.163,0.064,19.68,16.27,0.233,0.073,9504.0,0.218,31.0,43824,0.443,3.86,0.224
NC,South,South Atlantic,Davidson County,37057,37057,Region 20,1/1/2015,7920.0,0.208,4.2,4.4,0.1,0.257,0.299,7.0,0.325,0.812,0.145,0.326,298.9,46.5,0.185,31.0,18.0,77.0,69.48,0.88,0.61,0.819,0.526,0.084,0.283,4.322,0.34,11.209,217.58,65.7,12.66,0.0,0.148,0.865,0.307,163420,0.018,0.474,0.112,167.1,404.8,7.9,61.6,0.159,0.064,17.89,17.0,0.23,0.068,9506.0,0.218,33.0,40424,0.462,3.6,
NC,South,South Atlantic,Davie County,37059,37059,Region 20,1/1/2014,6014.0,0.148,4.2,2.9,0.08,0.225,0.281,8.219,0.261,0.305,0.122,0.22,180.5,35.3,0.163,39.0,29.0,24.0,67.31,0.88,0.67,0.77,0.538,0.087,0.191,,0.271,,206.83,78.9,12.76,0.073,0.109,0.835,0.333,41433,0.019,0.703,0.119,81.1,310.7,7.5,30.6,0.134,0.027,20.44,16.13,0.196,0.08,10030.0,0.144,41.0,49984,0.361,3.94,0.185
NC,South,South Atlantic,Davie County,37059,37059,Region 20,1/1/2015,6530.0,0.148,4.2,2.9,0.08,0.225,0.265,8.0,0.256,0.65,0.122,0.25,200.3,33.4,0.181,43.0,29.0,60.0,52.17,0.9,0.68,0.83,0.552,0.075,0.192,4.248,0.265,11.585,197.45,68.4,12.76,0.068,0.123,0.834,0.348,41554,0.016,0.703,0.117,81.1,334.2,,36.4,0.134,0.027,18.54,14.7,0.218,0.085,9955.0,0.144,46.0,49708,0.371,4.3,
NC,South,South Atlantic,Duplin County,37061,37061,Region 20,1/1/2014,8311.0,0.341,4.2,2.5,0.08,0.204,0.361,7.358,0.337,0.219,0.121,0.27,423.2,63.8,0.266,25.0,20.0,48.0,71.29,0.87,0.63,0.69,0.444,0.097,0.326,,0.405,,306.0,79.5,11.89,0.014,0.176,0.782,0.295,60033,0.085,0.865,0.14,336.0,389.3,9.0,86.1,0.187,0.008,28.0,5.4,0.335,0.104,9532.0,0.295,43.0,36075,0.602,8.22,0.216
NC,South,South Atlantic,Duplin County,37061,37061,Region 20,1/1/2015,7465.0,0.341,4.2,2.5,0.08,0.204,0.34,7.0,0.306,0.318,0.121,0.3,346.5,59.2,0.264,27.0,18.0,62.0,67.52,0.87,0.61,0.81,0.438,0.086,0.37,4.862,0.397,9.995,337.32,73.5,11.89,0.015,0.162,0.78,0.316,60084,0.086,0.865,0.133,336.0,368.9,8.8,72.0,0.186,0.008,27.57,5.96,0.33,0.109,9581.0,0.295,48.0,38106,0.616,7.9,
NC,South,South Atlantic,Durham County,37063,37063,Region 20,1/1/2014,6979.0,0.166,2.8,2.9,0.09,0.136,0.294,6.597,0.203,0.855,0.149,0.375,710.0,41.3,0.193,124.0,68.0,378.0,46.09,0.87,0.68,0.74,0.712,0.076,0.276,,0.417,,640.94,53.6,12.27,0.001,0.179,0.752,0.226,279641,0.059,0.056,0.094,645.2,355.8,6.6,73.7,0.197,0.062,11.51,8.86,0.232,0.083,8397.0,0.155,148.0,50889,0.509,11.29,0.218
NC,South,South Atlantic,Durham County,37063,37063,Region 20,1/1/2015,6476.0,0.166,2.8,2.9,0.09,0.136,0.288,6.3,0.201,0.921,0.149,0.323,830.7,39.2,0.198,122.0,71.0,502.0,41.18,0.9,0.7,0.77,0.717,0.064,0.224,4.889,0.415,10.692,647.99,52.1,12.27,0.003,0.183,0.752,0.226,288133,0.061,0.056,0.092,645.2,336.3,6.7,74.5,0.191,0.062,9.43,9.48,0.238,0.085,8108.0,0.155,154.0,52331,0.52,9.5,
NC,South,South Atlantic,Edgecombe County,37065,37065,Region 20,1/1/2014,10009.0,0.198,4.3,2.1,0.13,0.209,0.37,4.747,0.29,0.306,,0.268,1192.0,65.8,0.184,27.0,21.0,40.0,85.23,0.91,0.71,0.75,0.496,0.147,0.457,,0.544,,605.71,69.3,11.83,0.544,0.197,0.816,0.254,55954,0.011,0.453,0.147,636.6,482.1,12.3,89.9,0.273,0.095,19.82,8.39,0.234,0.059,8606.0,0.181,32.0,32002,0.705,12.2,0.318
NC,South,South Atlantic,Edgecombe County,37065,37065,Region 20,1/1/2015,9873.0,0.198,4.3,2.1,0.12,0.209,0.397,4.5,0.303,0.35,,0.286,1152.7,63.2,0.179,32.0,23.0,59.0,70.65,0.9,0.7,0.8,0.493,0.134,0.458,5.082,0.577,12.51,576.49,67.2,11.83,0.356,0.187,0.821,0.259,55574,0.011,0.453,0.154,636.6,471.4,12.2,67.7,0.257,0.095,18.05,8.9,0.225,0.063,8935.0,0.181,32.0,33080,0.856,12.1,
NC,South,South Atlantic,Forsyth County,37067,37067,Region 20,1/1/2014,7332.0,0.142,3.0,3.0,0.1,0.197,0.26,6.316,0.217,0.81,0.119,0.42,765.7,44.0,0.187,100.0,58.0,164.0,61.58,0.87,0.66,0.79,0.632,0.09,0.324,,0.386,,563.58,58.6,12.76,0.001,0.159,0.836,0.196,358137,0.042,0.073,0.101,437.7,362.2,10.0,84.3,0.181,0.12,11.02,10.17,0.229,0.084,9325.0,0.129,149.0,43049,0.471,6.44,0.179
NC,South,South Atlantic,Forsyth County,37067,37067,Region 20,1/1/2015,7218.0,0.142,3.0,3.0,0.1,0.197,0.259,6.0,0.217,0.845,0.119,0.425,755.0,42.2,0.195,106.0,60.0,246.0,56.19,0.88,0.66,0.81,0.638,0.075,0.304,4.8,0.391,11.197,541.6,58.9,12.76,0.001,0.167,0.84,0.199,361220,0.042,0.073,0.101,437.7,359.5,10.2,73.3,0.178,0.12,11.49,12.03,0.243,0.076,9157.0,0.129,161.0,46163,0.485,5.8,
NC,South,South Atlantic,Franklin County,37069,37069,Region 20,1/1/2014,7673.0,0.166,4.4,4.4,0.09,0.267,0.334,7.576,0.286,0.562,0.166,0.413,297.7,43.0,0.209,20.0,19.0,41.0,65.48,0.88,0.67,0.79,0.51,0.09,0.242,,0.256,,146.35,72.6,12.11,0.072,0.174,0.825,0.53,61475,0.021,0.853,0.106,209.0,392.0,7.1,57.8,0.169,0.022,23.53,10.51,0.257,0.092,8966.0,0.241,23.0,42346,0.497,5.51,0.264
NC,South,South Atlantic,Franklin County,37069,37069,Region 20,1/1/2015,7607.0,0.166,4.4,4.4,0.09,0.267,0.325,7.3,0.281,0.767,0.166,0.391,406.7,40.5,0.209,20.0,19.0,64.0,63.96,0.88,0.68,0.8,0.545,0.074,0.253,4.473,0.291,10.248,183.94,66.5,12.11,0.027,0.167,0.831,0.519,62260,0.017,0.853,0.112,209.0,387.3,7.3,66.1,0.165,0.022,20.74,10.61,0.255,0.094,9284.0,0.241,19.0,39312,0.505,4.8,
NC,South,South Atlantic,Gaston County,37071,37071,Region 20,1/1/2014,9282.0,0.208,4.5,4.5,0.1,0.258,0.273,6.496,0.286,0.743,0.123,0.455,705.2,55.4,0.192,66.0,48.0,109.0,67.07,0.86,0.61,0.749,0.57,0.106,0.273,,0.37,,443.08,77.8,12.73,0.105,0.158,0.855,0.354,208049,0.021,0.196,0.123,285.7,462.6,9.5,77.0,0.179,0.107,15.66,22.31,0.238,0.072,9903.0,0.183,56.0,41614,0.061,5.15,0.229
NC,South,South Atlantic,Gaston County,37071,37071,Region 20,1/1/2015,8906.0,0.208,4.5,4.5,0.1,0.258,0.312,6.2,0.291,0.777,0.123,0.385,428.3,52.5,0.194,65.0,50.0,191.0,59.21,0.88,0.64,0.781,0.592,0.088,0.28,4.834,0.379,14.516,391.41,76.0,12.73,0.065,0.175,0.854,0.353,209420,0.019,0.196,0.138,285.7,459.7,9.9,61.5,0.176,0.107,13.44,22.9,0.241,0.074,9728.0,0.183,61.0,42461,0.073,5.1,
NC,South,South Atlantic,Gates County,37073,37073,Insuff Data,1/1/2014,9113.0,0.204,4.7,4.0,0.11,,0.328,7.839,0.307,0.45,,0.471,456.7,37.2,0.167,8.0,8.0,8.0,74.45,0.87,0.62,0.825,0.488,0.073,0.263,,0.374,,,68.1,11.74,0.0,0.137,0.843,0.664,11869,0.004,1.0,0.134,110.8,444.9,,,0.167,0.0,27.93,,0.199,0.084,8583.0,0.213,17.0,44273,0.397,,
NC,South,South Atlantic,Gates County,37073,37073,Insuff Data,1/1/2015,8077.0,0.204,4.7,4.0,0.1,,0.343,7.5,0.296,0.306,,0.421,412.8,36.3,0.171,8.0,9.0,9.0,62.33,0.9,0.64,0.875,0.5,0.073,0.265,4.415,0.386,9.268,,67.9,11.74,0.0,0.136,0.869,0.64,11650,0.004,1.0,0.128,110.8,417.7,,,0.168,0.0,29.73,,0.203,0.083,8276.0,0.213,17.0,48194,0.418,,
NC,South,South Atlantic,Graham County,37075,37075,Region 15,1/1/2014,9226.0,0.24,3.1,3.7,0.08,0.224,0.295,7.265,0.277,1.0,,0.071,125.0,64.4,0.227,23.0,11.0,34.0,59.15,0.83,0.61,0.875,0.444,0.168,0.338,,0.153,,,103.5,13.38,0.115,0.145,0.861,0.232,8700,0.012,1.0,0.122,,433.4,,,0.187,0.017,,21.56,0.276,0.094,9833.0,0.221,69.0,32883,0.464,,
NC,South,South Atlantic,Graham County,37075,37075,Region 15,1/1/2015,12294.0,0.24,3.1,3.7,0.09,0.224,0.295,7.0,0.25,1.0,,0.053,229.9,65.9,0.22,23.0,23.0,46.0,48.69,0.85,0.56,0.925,0.465,0.141,0.359,4.541,0.218,13.793,,120.9,13.38,0.112,0.127,0.848,0.201,8736,0.012,1.0,0.121,,489.0,,,0.183,0.017,,27.87,0.264,0.102,8515.0,0.221,80.0,33553,0.516,,
NC,South,South Atlantic,Granville County,37077,37077,Region 20,1/1/2014,7765.0,0.185,3.9,3.9,0.09,0.228,0.302,7.519,0.297,0.553,0.109,0.426,393.5,37.7,0.166,45.0,25.0,205.0,68.77,0.9,0.7,0.67,0.515,0.096,0.25,,0.375,,384.95,64.1,12.3,0.002,0.154,0.849,0.462,60436,0.018,0.547,0.125,380.5,398.9,6.5,54.0,0.169,0.027,20.12,6.54,0.202,0.075,8342.0,0.204,45.0,46303,0.436,5.53,0.237
NC,South,South Atlantic,Granville County,37077,37077,Region 20,1/1/2015,6909.0,0.185,3.9,3.9,0.09,0.228,0.333,7.1,0.259,0.631,0.109,0.406,478.2,36.9,0.187,48.0,27.0,263.0,57.68,0.92,0.7,0.73,0.541,0.084,0.21,4.151,0.379,13.568,364.87,62.4,12.3,0.286,0.166,0.85,0.462,58275,0.017,0.547,0.122,380.5,353.1,5.0,45.7,0.172,0.027,19.97,9.5,0.228,0.078,8198.0,0.204,50.0,48680,0.455,3.2,
NC,South,South Atlantic,Greene County,37079,37079,Region 20,1/1/2014,7531.0,0.384,3.5,2.0,0.12,,0.318,7.223,0.279,0.34,,0.4,570.6,57.6,0.232,9.0,34.0,29.0,78.52,0.91,0.65,0.76,0.475,0.095,0.359,,0.364,,248.87,58.6,11.84,0.0,0.118,0.847,0.311,21429,0.047,1.0,0.118,393.5,368.9,16.1,106.1,0.198,0.0,23.28,,0.28,0.119,9649.0,,23.0,35050,0.651,6.85,
NC,South,South Atlantic,Greene County,37079,37079,Region 20,1/1/2015,6891.0,0.384,3.5,2.0,0.11,,0.331,6.9,0.275,0.312,,0.5,485.3,54.7,0.234,9.0,38.0,57.0,62.9,0.88,0.61,0.84,0.488,0.085,0.339,4.66,0.385,8.4,209.99,59.0,11.84,0.0,0.123,0.838,0.321,21232,0.049,1.0,0.122,393.5,353.1,14.2,51.0,0.194,0.0,18.15,6.72,0.285,0.111,10080.0,,14.0,39481,0.635,7.4,
NC,South,South Atlantic,Guilford County,37081,37081,Region 20,1/1/2014,6974.0,0.122,2.7,3.1,0.1,0.167,0.274,6.531,0.235,0.883,0.134,0.369,1028.3,32.4,0.188,75.0,51.0,156.0,51.63,0.88,0.69,0.83,0.669,0.098,0.253,,0.401,,504.57,60.0,12.61,0.016,0.168,0.822,0.207,500879,0.031,0.127,0.101,461.9,339.2,9.4,74.3,0.198,0.067,13.07,9.58,0.23,0.079,8349.0,0.139,75.0,43299,0.46,7.19,0.193
NC,South,South Atlantic,Guilford County,37081,37081,Region 20,1/1/2015,6628.0,0.122,2.7,3.1,0.09,0.167,0.282,6.2,0.22,0.939,0.134,0.356,788.2,31.5,0.195,78.0,54.0,242.0,47.0,0.89,0.68,0.85,0.675,0.083,0.274,4.803,0.418,11.939,460.43,58.5,12.61,0.008,0.169,0.821,0.21,506610,0.031,0.127,0.098,461.9,330.3,9.9,66.7,0.193,0.067,11.35,9.78,0.239,0.081,8628.0,0.139,83.0,46093,0.479,7.0,
NC,South,South Atlantic,Halifax County,37083,37083,Insuff Data,1/1/2014,10941.0,0.296,4.7,4.3,0.13,0.213,0.379,5.017,0.339,0.436,0.061,0.362,686.7,63.2,0.185,55.0,25.0,96.0,85.78,0.9,0.67,0.737,0.492,0.132,0.431,,0.523,,538.3,74.1,11.96,0.302,0.204,0.849,0.295,54006,0.007,0.547,0.161,314.6,505.9,15.0,79.9,0.259,0.096,24.2,7.47,0.23,0.066,9488.0,0.263,35.0,31253,0.466,11.33,0.373
NC,South,South Atlantic,Halifax County,37083,37083,Insuff Data,1/1/2015,10903.0,0.296,4.7,4.3,0.13,0.213,0.392,4.7,0.346,0.676,0.061,0.426,786.9,60.3,0.187,59.0,26.0,144.0,81.21,0.89,0.7,0.787,0.493,0.115,0.435,5.351,0.545,12.221,517.84,73.9,11.96,0.3,0.2,0.84,0.299,53453,0.007,0.547,0.152,314.6,499.1,15.5,86.3,0.251,0.096,23.39,7.02,0.23,0.074,9773.0,0.263,39.0,32597,0.652,12.5,
NC,South,South Atlantic,Harnett County,37085,37085,Region 20,1/1/2014,8643.0,0.188,4.1,3.5,0.09,0.257,0.331,7.061,0.286,0.551,0.129,0.311,402.5,44.4,0.211,30.0,26.0,57.0,90.45,0.88,0.66,0.73,0.623,0.108,0.263,,0.338,,307.21,66.9,12.16,0.0,0.175,0.836,0.459,122135,0.029,0.559,0.111,207.9,429.3,9.6,78.9,0.185,0.041,24.21,9.55,0.266,0.095,10191.0,0.144,56.0,44998,0.46,7.26,0.213
NC,South,South Atlantic,Harnett County,37085,37085,Region 20,1/1/2015,7918.0,0.188,4.1,3.5,0.09,0.257,0.31,6.8,0.268,0.634,0.129,0.364,341.4,42.6,0.198,33.0,27.0,90.0,83.55,0.88,0.64,0.75,0.633,0.092,0.243,4.511,0.32,8.188,300.76,64.3,12.16,0.0,0.165,0.846,0.456,124987,0.023,0.559,0.101,207.9,404.1,9.0,68.7,0.178,0.041,21.13,11.2,0.252,0.084,10150.0,0.144,58.0,45257,0.477,7.3,
NC,South,South Atlantic,Haywood County,37087,37087,Region 20,1/1/2014,7745.0,0.18,4.7,4.8,0.09,0.261,0.259,7.646,0.216,0.64,0.132,0.25,243.0,46.3,0.185,73.0,42.0,179.0,61.57,0.89,0.69,0.79,0.546,0.087,0.277,,0.363,,260.55,82.2,13.18,0.001,0.118,0.81,0.287,58908,0.007,0.554,0.104,97.1,361.7,7.7,53.7,0.141,0.069,20.89,18.18,0.22,0.075,8498.0,0.205,49.0,40022,0.447,2.46,0.192
NC,South,South Atlantic,Haywood County,37087,37087,Region 20,1/1/2015,7698.0,0.18,4.7,4.8,0.1,0.261,0.239,7.3,0.235,0.907,0.132,0.143,224.1,45.5,0.189,78.0,44.0,279.0,65.89,0.89,0.7,0.79,0.548,0.072,0.311,4.346,0.375,15.618,266.62,80.1,13.18,0.001,0.127,0.824,0.294,59183,0.008,0.554,0.11,97.1,362.3,6.3,39.6,0.143,0.069,16.31,18.01,0.227,0.07,8561.0,0.205,46.0,39320,0.454,3.1,
NC,South,South Atlantic,Henderson County,37089,37089,Region 20,1/1/2014,6873.0,0.172,3.7,3.5,0.07,0.174,0.219,8.136,0.235,0.58,0.107,0.194,194.6,50.3,0.209,77.0,47.0,115.0,43.17,0.87,0.7,0.83,0.629,0.073,0.23,,0.251,,156.19,75.5,13.06,0.006,0.13,0.812,0.237,108266,0.037,0.333,0.097,87.4,330.5,6.2,48.5,0.125,0.052,14.31,15.72,0.251,0.092,8539.0,0.145,75.0,45168,0.435,3.79,0.199
NC,South,South Atlantic,Henderson County,37089,37089,Region 20,1/1/2015,6755.0,0.172,3.7,3.5,0.07,0.174,0.218,7.8,0.231,0.883,0.107,0.169,211.5,46.1,0.217,80.0,48.0,175.0,40.07,0.89,0.72,0.85,0.619,0.06,0.239,4.362,0.256,11.823,161.21,81.0,13.06,0.003,0.13,0.813,0.232,109540,0.035,0.333,0.106,87.4,323.4,6.3,48.1,0.13,0.052,11.69,14.69,0.261,0.097,8465.0,0.145,87.0,44561,0.447,4.3,
NC,South,South Atlantic,Hertford County,37091,37091,Insuff Data,1/1/2014,8977.0,0.262,3.5,2.7,0.13,0.265,0.341,5.614,0.336,0.482,,0.379,929.1,58.7,0.176,57.0,30.0,127.0,60.37,0.92,0.73,0.84,0.531,0.104,0.389,,0.535,,295.01,59.9,11.79,0.0,0.205,0.8,0.274,24438,0.018,0.686,0.144,611.0,425.4,18.2,118.1,0.246,0.063,29.49,7.08,0.22,0.063,8244.0,0.174,82.0,31861,0.335,5.9,
NC,South,South Atlantic,Hertford County,37091,37091,Insuff Data,1/1/2015,8394.0,0.262,3.5,2.7,0.12,0.265,0.334,5.2,0.334,0.669,,0.429,699.7,53.1,0.197,45.0,41.0,192.0,54.82,0.93,0.72,0.825,0.511,0.094,0.381,5.806,0.521,17.186,263.86,57.1,11.79,0.0,0.201,0.844,0.263,24431,0.018,0.686,0.141,611.0,430.9,17.5,68.0,0.24,0.063,22.25,,0.243,0.074,8319.0,0.174,82.0,33616,0.734,7.3,
NC,South,South Atlantic,Hoke County,37093,37093,Region 20,1/1/2014,7797.0,0.217,3.9,3.1,0.09,0.201,0.331,6.381,0.301,0.139,0.11,0.431,612.9,61.5,0.226,6.0,10.0,95.0,81.48,0.87,0.65,0.7,0.618,0.094,0.28,,0.4,,165.86,62.2,12.18,0.0,0.186,0.838,0.409,50536,0.024,0.432,0.112,377.9,395.7,9.6,71.7,0.191,0.095,30.2,9.06,0.294,0.085,10943.0,0.195,46.0,44717,0.432,7.72,0.245
NC,South,South Atlantic,Hoke County,37093,37093,Region 20,1/1/2015,8009.0,0.217,3.9,3.1,0.09,0.201,0.344,6.0,0.3,0.816,0.11,0.4,548.1,57.2,0.224,6.0,10.0,154.0,77.15,0.87,0.71,0.74,0.617,0.083,0.319,5.053,0.386,6.728,137.71,63.1,12.18,0.0,0.192,0.845,0.429,51322,0.025,0.432,0.12,377.9,435.1,7.2,51.9,0.191,0.095,27.19,9.06,0.289,0.093,10811.0,0.195,45.0,43987,0.527,8.5,
NC,South,South Atlantic,Hyde County,37095,37095,Insuff Data,1/1/2014,7202.0,,2.0,,0.09,,0.315,4.441,0.286,0.653,,0.2,274.8,50.3,0.236,17.0,,75.0,89.69,0.92,0.66,,0.437,0.109,0.318,,0.407,,,,11.46,0.0,0.154,0.541,0.221,5859,0.019,1.0,0.122,337.8,361.8,,,0.204,0.257,,,0.272,0.132,8569.0,,34.0,35301,0.516,,
NC,South,South Atlantic,Hyde County,37095,37095,Insuff Data,1/1/2015,9710.0,,2.0,,0.09,,0.297,4.1,0.27,0.648,,0.222,221.9,47.3,0.246,17.0,,105.0,62.35,0.9,0.61,,0.467,0.095,0.325,3.83,0.594,10.241,,68.9,11.46,0.0,0.207,0.581,0.26,5721,0.003,1.0,0.121,337.8,414.7,,,0.201,0.257,,,0.289,0.122,8379.0,,52.0,36681,0.454,,
NC,South,South Atlantic,Iredell County,37097,37097,Region 20,1/1/2014,7198.0,0.167,3.3,3.0,0.09,0.197,0.279,7.478,0.239,0.647,0.159,0.354,354.2,41.9,0.176,67.0,48.0,109.0,70.84,0.88,0.66,0.862,0.626,0.097,0.2,,0.298,,277.04,64.1,12.8,0.0,0.14,0.847,0.31,162708,0.018,0.379,0.089,95.9,369.7,7.0,50.3,0.157,0.054,17.15,14.57,0.219,0.072,10015.0,0.15,68.0,49666,0.323,4.48,0.185
NC,South,South Atlantic,Iredell County,37097,37097,Region 20,1/1/2015,7055.0,0.167,3.3,3.0,0.09,0.197,0.283,7.2,0.239,0.735,0.159,0.346,333.1,39.5,0.186,71.0,49.0,170.0,70.54,0.89,0.68,0.874,0.625,0.08,0.176,4.584,0.312,12.722,282.0,63.8,12.8,0.001,0.147,0.839,0.314,164517,0.016,0.379,0.092,95.9,373.0,6.8,46.5,0.154,0.054,16.05,16.05,0.231,0.078,10151.0,0.15,74.0,49983,0.328,4.1,
NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2014,7283.0,0.213,3.7,3.9,0.07,0.222,0.328,7.114,0.25,0.98,0.154,0.206,439.4,27.3,0.262,97.0,36.0,393.0,46.8,0.83,0.64,0.77,0.582,0.092,0.297,,0.372,,389.83,78.2,13.21,0.027,0.163,0.793,0.21,40448,0.016,0.731,0.126,82.7,340.8,,75.2,0.161,0.082,15.23,18.2,0.307,0.117,8245.0,0.155,91.0,37049,0.452,,0.179
NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2015,7236.0,0.213,3.7,3.9,0.07,0.222,0.323,6.7,0.268,0.918,0.154,0.231,380.7,27.5,0.258,89.0,44.0,547.0,44.07,0.82,0.64,0.86,0.598,0.074,0.317,4.689,0.407,12.362,327.76,72.1,13.21,0.232,0.18,0.775,0.204,40919,0.017,0.731,0.134,82.7,344.8,,84.7,0.163,0.082,10.13,17.37,0.301,0.121,8216.0,0.155,105.0,40511,0.45,,
NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2014,7341.0,0.204,4.0,3.7,0.08,0.254,0.334,7.889,0.278,0.567,0.179,0.35,318.7,48.2,0.187,31.0,20.0,51.0,90.19,0.88,0.69,0.79,0.589,0.084,0.249,,0.308,,213.55,64.9,12.04,0.063,0.141,0.825,0.436,174938,0.041,0.52,0.116,225.0,379.2,6.8,61.0,0.156,0.017,21.44,8.65,0.235,0.083,10794.0,0.182,39.0,48773,0.377,5.43,0.191
NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2015,7499.0,0.204,4.0,3.7,0.08,0.254,0.343,7.6,0.267,0.707,0.179,0.314,265.2,45.6,0.211,29.0,20.0,83.0,82.77,0.89,0.69,0.82,0.588,0.069,0.216,4.404,0.314,8.86,198.46,64.9,12.04,0.06,0.142,0.828,0.445,177967,0.041,0.52,0.129,225.0,384.8,6.3,49.2,0.153,0.017,20.0,9.48,0.263,0.098,10690.0,0.182,44.0,50904,0.378,5.0,
NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2014,8375.0,0.189,3.6,6.2,0.1,0.442,0.341,7.462,0.331,0.551,,0.563,459.1,42.1,0.21,60.0,,,50.32,0.9,0.71,0.775,0.554,0.105,0.332,,0.42,,,55.7,11.76,0.0,0.111,0.73,0.388,10275,0.019,1.0,0.152,311.9,444.2,,,0.186,0.0,28.38,,0.247,0.099,8066.0,,107.0,35159,0.635,,0.176
NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2015,10038.0,0.189,3.6,6.2,0.1,0.442,0.343,6.9,0.301,0.618,,0.333,321.2,41.1,0.212,49.0,,29.0,36.85,0.89,0.77,0.825,0.569,0.084,0.348,4.635,0.416,7.786,,55.4,11.76,0.0,0.145,0.772,0.429,10215,0.018,1.0,0.16,311.9,499.1,,,0.193,0.0,18.42,,0.251,0.094,8795.0,,88.0,39602,0.669,,
NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2014,8413.0,0.201,3.4,4.0,0.1,0.2,0.292,6.448,0.263,0.49,0.095,0.293,478.3,69.7,0.22,54.0,43.0,133.0,76.32,0.87,0.65,0.8,0.484,0.118,0.278,,0.385,,216.38,77.4,12.27,0.001,0.155,0.82,0.3,59715,0.076,0.428,0.11,304.5,408.1,7.3,62.3,0.188,0.094,29.58,11.09,0.275,0.095,9007.0,0.203,60.0,43424,0.531,11.89,0.24
NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2015,8793.0,0.201,3.4,4.0,0.1,0.2,0.292,6.3,0.239,0.666,0.095,0.309,470.6,64.9,0.217,55.0,45.0,194.0,76.36,0.88,0.68,0.84,0.52,0.103,0.267,4.346,0.36,15.574,198.45,70.8,12.27,0.0,0.161,0.839,0.324,60266,0.066,0.428,0.115,304.5,413.5,7.7,76.3,0.177,0.094,22.71,13.63,0.272,0.096,9477.0,0.203,65.0,48061,0.563,10.3,
NC,South,South Atlantic,Lenoir County,37107,37107,Region 20,1/1/2014,10935.0,0.25,4.1,4.7,0.11,0.161,0.342,6.104,0.356,0.537,0.081,0.327,586.5,63.1,0.197,46.0,45.0,74.0,71.38,0.87,0.69,0.72,0.508,0.1,0.366,,0.517,,674.18,71.5,11.82,0.0,0.195,0.772,0.259,59227,0.027,0.45,0.15,484.6,510.1,11.9,94.9,0.229,0.048,20.25,6.99,0.246,0.076,9027.0,0.182,52.0,35634,0.607,7.95,0.249
