State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Rockingham County,37157,37157,Region 20,1/1/2015,9155.0,0.244,5.1,4.0,0.1,0.275,0.342,6.0,0.333,0.682,0.157,0.346,409.8,48.6,0.188,39.0,30.0,113.0,94.72,0.89,0.61,0.76,0.515,0.094,0.293,4.549,0.393,14.991,269.52,80.4,12.68,0.022,0.136,0.843,0.396,91878,0.014,0.619,0.136,157.9,437.0,9.4,63.4,0.181,0.115,20.99,18.85,0.229,0.075,9311.0,0.183,49.0,40446,0.493,6.1,
NC,South,South Atlantic,Rowan County,37159,37159,Region 20,1/1/2014,8483.0,0.22,4.2,4.2,0.1,0.249,0.331,6.706,0.302,0.744,0.101,0.225,487.6,51.4,0.194,43.0,36.0,143.0,55.89,0.89,0.63,0.77,0.52,0.099,0.272,,0.366,,328.15,77.7,12.68,0.0,0.154,0.843,0.278,138180,0.026,0.388,0.126,283.8,422.3,8.0,58.2,0.178,0.088,18.12,18.65,0.241,0.075,9239.0,0.205,52.0,40400,0.513,6.53,0.23
NC,South,South Atlantic,Rowan County,37159,37159,Region 20,1/1/2015,9034.0,0.22,4.2,4.2,0.1,0.249,0.34,6.4,0.302,0.826,0.101,0.266,492.1,49.2,0.207,41.0,38.0,181.0,55.71,0.89,0.64,0.81,0.525,0.083,0.278,4.662,0.389,15.487,315.02,80.5,12.68,0.003,0.154,0.845,0.281,138323,0.027,0.388,0.128,283.8,438.8,7.9,56.8,0.174,0.088,17.7,20.61,0.255,0.086,8827.0,0.205,59.0,41475,0.547,5.7,
NC,South,South Atlantic,Rutherford County,37161,37161,Region 20,1/1/2014,8593.0,0.24,4.9,4.8,0.09,0.265,0.3,6.223,0.288,0.561,0.092,0.225,346.5,54.5,0.193,55.0,25.0,89.0,62.91,0.86,0.63,0.707,0.56,0.133,0.288,,0.321,,245.34,78.6,12.93,0.014,0.16,0.848,0.264,67323,0.007,0.61,0.124,81.3,438.4,8.7,52.1,0.198,0.097,19.59,22.17,0.239,0.069,8656.0,0.232,49.0,34193,0.488,5.6,0.221
NC,South,South Atlantic,Rutherford County,37161,37161,Region 20,1/1/2015,8369.0,0.24,4.9,4.8,0.09,0.265,0.273,6.0,0.266,0.619,0.092,0.239,375.8,52.3,0.194,52.0,24.0,134.0,61.78,0.86,0.62,0.746,0.566,0.111,0.344,4.496,0.351,20.647,219.16,73.5,12.93,0.003,0.145,0.828,0.29,66956,0.007,0.61,0.127,81.3,437.0,7.5,49.9,0.19,0.097,17.25,22.36,0.24,0.071,8757.0,0.232,57.0,35544,0.513,4.7,
NC,South,South Atlantic,Sampson County,37163,37163,Region 20,1/1/2014,10349.0,0.255,3.7,2.3,0.09,0.169,0.367,7.291,0.275,0.23,0.114,0.323,442.5,62.9,0.234,50.0,28.0,35.0,75.78,0.9,0.67,0.741,0.448,0.086,0.312,,0.424,,219.61,96.5,11.99,0.0,0.173,0.799,0.343,63949,0.058,0.85,0.128,266.4,470.0,10.4,96.7,0.183,0.022,32.48,13.27,0.293,0.097,9716.0,0.163,36.0,37420,0.615,11.44,0.247
NC,South,South Atlantic,Sampson County,37163,37163,Region 20,1/1/2015,9385.0,0.255,3.7,2.3,0.09,0.169,0.364,7.0,0.294,0.402,0.114,0.295,301.8,62.3,0.232,47.0,30.0,42.0,76.69,0.89,0.69,0.76,0.45,0.074,0.328,4.772,0.426,14.23,197.36,96.2,11.99,0.0,0.172,0.79,0.349,64150,0.055,0.85,0.122,266.4,440.3,11.2,97.3,0.179,0.022,30.56,14.49,0.291,0.096,9899.0,0.163,36.0,35890,0.612,10.8,
NC,South,South Atlantic,Scotland County,37165,37165,Region 20,1/1/2014,11100.0,0.276,3.7,4.3,0.13,0.248,0.364,4.903,0.289,0.289,0.086,0.538,652.5,72.7,0.2,75.0,18.0,78.0,83.27,0.81,0.69,0.66,0.438,0.169,0.468,,0.569,,511.54,79.3,12.2,0.032,0.194,0.857,0.249,36094,0.004,0.484,0.135,401.6,526.3,11.2,99.7,0.275,0.076,24.36,11.79,0.256,0.07,9615.0,0.2,75.0,31704,0.668,18.07,0.228
NC,South,South Atlantic,Scotland County,37165,37165,Region 20,1/1/2015,11011.0,0.276,3.7,4.3,0.13,0.248,0.357,4.6,0.28,0.662,0.086,0.387,717.6,71.6,0.202,69.0,25.0,147.0,87.07,0.83,0.71,0.76,0.438,0.146,0.441,5.7,0.597,13.853,487.52,74.6,12.2,0.032,0.204,0.862,0.24,36025,0.004,0.484,0.149,401.6,517.1,10.9,94.6,0.264,0.076,22.47,11.83,0.255,0.078,9441.0,0.2,83.0,32314,,21.0,
NC,South,South Atlantic,Stanly County,37167,37167,Region 20,1/1/2014,7933.0,0.262,5.8,5.5,0.1,0.253,0.266,7.68,0.307,0.504,0.145,0.191,369.5,50.1,0.183,43.0,29.0,118.0,64.25,0.93,0.67,0.792,0.56,0.096,0.254,,0.321,,228.67,80.2,12.52,0.1,0.116,0.84,0.353,60576,0.015,0.677,0.119,137.0,394.0,11.2,66.7,0.162,0.025,20.09,16.26,0.223,0.077,9575.0,0.183,35.0,42816,0.426,4.78,0.217
